model,img_size,top1,top1_err,top5,top5_err,param_count,crop_pct,interpolation
mvitv2_small.fb_in1k,224,83.772,16.228,96.558,3.442,34.87,0.9,bicubic
pvt_v2_b5.in1k,224,83.768,16.232,96.632,3.368,81.96,0.9,bicubic
convformer_s18.sail_in22k_ft_in1k,224,83.762,16.238,97.048,2.952,26.77,1.0,bicubic
repvit_m2_3.dist_450e_in1k,224,83.742,16.258,96.642,3.358,23.69,0.95,bicubic
xcit_medium_24_p8_224.fb_in1k,224,83.742,16.258,96.392,3.608,84.32,1.0,bicubic
pvt_v2_b4.in1k,224,83.712,16.288,96.67,3.33,62.56,0.9,bicubic
seresnext101d_32x8d.ah_in1k,224,83.7,16.3,96.59,3.41,93.59,0.95,bicubic
hgnetv2_b4.ssld_stage2_ft_in1k,224,83.694,16.306,96.788,3.212,19.8,0.965,bicubic
twins_svt_large.in1k,224,83.69,16.31,96.608,3.392,99.27,0.9,bicubic
hrnet_w48_ssld.paddle_in1k,224,83.678,16.322,96.848,3.152,77.47,0.95,bilinear
rdnet_small.nv_in1k,224,83.668,16.332,96.712,3.288,50.44,0.9,bicubic
caformer_s18.sail_in1k,224,83.668,16.332,96.52,3.48,26.34,1.0,bicubic
nextvit_large.bd_in1k,224,83.642,16.358,96.684,3.316,57.87,0.95,bicubic
efficientformerv2_l.snap_dist_in1k,224,83.64,16.36,96.54,3.46,26.32,0.95,bicubic
seresnext101_32x8d.ah_in1k,224,83.618,16.382,96.412,3.588,93.57,0.95,bicubic
coatnet_1_rw_224.sw_in1k,224,83.612,16.388,96.382,3.618,41.72,0.95,bicubic
swin_base_patch4_window7_224.ms_in1k,224,83.61,16.39,96.45,3.55,87.77,0.9,bicubic
coat_lite_medium.in1k,224,83.602,16.398,96.714,3.286,44.57,0.9,bicubic
resmlp_big_24_224.fb_distilled_in1k,224,83.594,16.406,96.654,3.346,129.14,0.875,bicubic
inception_next_small.sail_in1k,224,83.584,16.416,96.598,3.402,49.37,0.875,bicubic
nest_base_jx.goog_in1k,224,83.546,16.454,96.366,3.634,67.72,0.875,bicubic
resnetaa101d.sw_in12k_ft_in1k,224,83.544,16.456,96.828,3.172,44.57,0.95,bicubic
repvit_m2_3.dist_300e_in1k,224,83.524,16.476,96.532,3.468,23.69,0.95,bicubic
maxvit_tiny_rw_224.sw_in1k,224,83.522,16.478,96.488,3.512,29.06,0.95,bicubic
focalnet_small_lrf.ms_in1k,224,83.508,16.492,96.586,3.414,50.34,0.9,bicubic
nextvit_base.bd_in1k,224,83.496,16.504,96.646,3.354,44.82,0.95,bicubic
swinv2_cr_small_ns_224.sw_in1k,224,83.49,16.51,96.486,3.514,49.7,0.9,bicubic
